county,state,fips
Martin,Kentucky,21159
Mason,Kentucky,21161
McCracken,Kentucky,21145
McCreary,Kentucky,21147
McLean,Kentucky,21149
Meade,Kentucky,21163
Menifee,Kentucky,21165
Mercer,Kentucky,21167
Metcalfe,Kentucky,21169
Monroe,Kentucky,21171
Montgomery,Kentucky,21173
Morgan,Kentucky,21175
Muhlenberg,Kentucky,21177
Nelson,Kentucky,21179
Nicholas,Kentucky,21181
Ohio,Kentucky,21183
Oldham,Kentucky,21185
Owen,Kentucky,21187
Owsley,Kentucky,21189
Pendleton,Kentucky,21191
Perry,Kentucky,21193
Pike,Kentucky,21195
Powell,Kentucky,21197
Pulaski,Kentucky,21199
Robertson,Kentucky,21201
Rockcastle,Kentucky,21203
Rowan,Kentucky,21205
Russell,Kentucky,21207
Scott,Kentucky,21209
Shelby,Kentucky,21211
Simpson,Kentucky,21213
Spencer,Kentucky,21215
Taylor,Kentucky,21217
Todd,Kentucky,21219
Trigg,Kentucky,21221
Trimble,Kentucky,21223
Union,Kentucky,21225
Warren,Kentucky,21227
Washington,Kentucky,21229
Wayne,Kentucky,21231
Webster,Kentucky,21233
Whitley,Kentucky,21235
Wolfe,Kentucky,21237
Woodford,Kentucky,21239
Acadia,Louisiana,22001
Allen,Louisiana,22003
Ascension,Louisiana,22005
Assumption,Louisiana,22007
Avoyelles,Louisiana,22009
Beauregard,Louisiana,22011
Bienville,Louisiana,22013
Bossier,Louisiana,22015
Caddo,Louisiana,22017
Calcasieu,Louisiana,22019
Caldwell,Louisiana,22021
Cameron,Louisiana,22023
Catahoula,Louisiana,22025
Claiborne,Louisiana,22027
Concordia,Louisiana,22029
De Soto,Louisiana,22031
East Baton Rouge,Louisiana,22033
East Carroll,Louisiana,22035
East Feliciana,Louisiana,22037
Evangeline,Louisiana,22039
Franklin,Louisiana,22041
Grant,Louisiana,22043
Iberia,Louisiana,22045
Iberville,Louisiana,22047
Jackson,Louisiana,22049
Jefferson,Louisiana,22051
Jefferson Davis,Louisiana,22053
LaSalle,Louisiana,22059
Lafayette,Louisiana,22055
Lafourche,Louisiana,22057
Lincoln,Louisiana,22061
Livingston,Louisiana,22063
Madison,Louisiana,22065
Morehouse,Louisiana,22067
Natchitoches,Louisiana,22069
Orleans,Louisiana,22071
Ouachita,Louisiana,22073
Plaquemines,Louisiana,22075
Pointe Coupee,Louisiana,22077
Rapides,Louisiana,22079
Red River,Louisiana,22081
Richland,Louisiana,22083
Sabine,Louisiana,22085
St. Bernard,Louisiana,22087
St. Charles,Louisiana,22089
St. Helena,Louisiana,22091
St. James,Louisiana,22093
St. John the Baptist,Louisiana,22095
St. Landry,Louisiana,22097
St. Martin,Louisiana,22099
St. Mary,Louisiana,22101
St. Tammany,Louisiana,22103
Tangipahoa,Louisiana,22105
Tensas,Louisiana,22107
Terrebonne,Louisiana,22109
Union,Louisiana,22111
Vermilion,Louisiana,22113
Vernon,Louisiana,22115
Washington,Louisiana,22117
Webster,Louisiana,22119
West Baton Rouge,Louisiana,22121
West Carroll,Louisiana,22123
West Feliciana,Louisiana,22125
Winn,Louisiana,22127
Androscoggin,Maine,23001
Aroostook,Maine,23003
Cumberland,Maine,23005
Franklin,Maine,23007
Hancock,Maine,23009
Kennebec,Maine,23011
Knox,Maine,23013
Lincoln,Maine,23015
Oxford,Maine,23017
Penobscot,Maine,23019
Piscataquis,Maine,23021
Sagadahoc,Maine,23023
Somerset,Maine,23025
Waldo,Maine,23027
Washington,Maine,23029
York,Maine,23031
Allegany,Maryland,24001
Anne Arundel,Maryland,24003
Baltimore,Maryland,24005
Baltimore city,Maryland,24510
Calvert,Maryland,24009
Caroline,Maryland,24011
Carroll,Maryland,24013
Cecil,Maryland,24015
Charles,Maryland,24017
Dorchester,Maryland,24019
Frederick,Maryland,24021
Garrett,Maryland,24023
Harford,Maryland,24025
Howard,Maryland,24027
Kent,Maryland,24029
Montgomery,Maryland,24031
Prince George's,Maryland,24033
Queen Anne's,Maryland,24035
Somerset,Maryland,24039
St. Mary's,Maryland,24037
Talbot,Maryland,24041
Washington,Maryland,24043
Wicomico,Maryland,24045
Worcester,Maryland,24047
Barnstable,Massachusetts,25001
Berkshire,Massachusetts,25003
Bristol,Massachusetts,25005
Dukes,Massachusetts,25007
Essex,Massachusetts,25009
Franklin,Massachusetts,25011
Hampden,Massachusetts,25013
Hampshire,Massachusetts,25015
Middlesex,Massachusetts,25017
Nantucket,Massachusetts,25019
Norfolk,Massachusetts,25021
Plymouth,Massachusetts,25023
Suffolk,Massachusetts,25025
Worcester,Massachusetts,25027
Alcona,Michigan,26001
Alger,Michigan,26003
Allegan,Michigan,26005
Alpena,Michigan,26007
Antrim,Michigan,26009
Arenac,Michigan,26011
Baraga,Michigan,26013
Barry,Michigan,26015
Bay,Michigan,26017
Benzie,Michigan,26019
Berrien,Michigan,26021
Branch,Michigan,26023
Calhoun,Michigan,26025
Cass,Michigan,26027
Charlevoix,Michigan,26029
Cheboygan,Michigan,26031
Chippewa,Michigan,26033
Clare,Michigan,26035
Clinton,Michigan,26037
Crawford,Michigan,26039
Delta,Michigan,26041
Dickinson,Michigan,26043
Eaton,Michigan,26045
Emmet,Michigan,26047
Genesee,Michigan,26049
Gladwin,Michigan,26051
Gogebic,Michigan,26053
Grand Traverse,Michigan,26055
Gratiot,Michigan,26057
Hillsdale,Michigan,26059
Houghton,Michigan,26061
Huron,Michigan,26063
Ingham,Michigan,26065
Ionia,Michigan,26067
Iosco,Michigan,26069
Iron,Michigan,26071
Isabella,Michigan,26073
Jackson,Michigan,26075
Kalamazoo,Michigan,26077
Kalkaska,Michigan,26079
Kent,Michigan,26081
Keweenaw,Michigan,26083
Lake,Michigan,26085
Lapeer,Michigan,26087
Leelanau,Michigan,26089
Lenawee,Michigan,26091
Livingston,Michigan,26093
Luce,Michigan,26095
Mackinac,Michigan,26097
Macomb,Michigan,26099
Manistee,Michigan,26101
Marquette,Michigan,26103
Mason,Michigan,26105
Mecosta,Michigan,26107
Menominee,Michigan,26109
Midland,Michigan,26111
Missaukee,Michigan,26113
Monroe,Michigan,26115
Montcalm,Michigan,26117
Montmorency,Michigan,26119
Muskegon,Michigan,26121
Newaygo,Michigan,26123
Oakland,Michigan,26125
Oceana,Michigan,26127
Ogemaw,Michigan,26129
Ontonagon,Michigan,26131
Osceola,Michigan,26133
Oscoda,Michigan,26135
Otsego,Michigan,26137
Ottawa,Michigan,26139
Presque Isle,Michigan,26141
Roscommon,Michigan,26143
Saginaw,Michigan,26145
Sanilac,Michigan,26151
Schoolcraft,Michigan,26153
Shiawassee,Michigan,26155
St. Clair,Michigan,26147
St. Joseph,Michigan,26149
Tuscola,Michigan,26157
Van Buren,Michigan,26159
Washtenaw,Michigan,26161
Wayne,Michigan,26163
Wexford,Michigan,26165
Aitkin,Minnesota,27001
Anoka,Minnesota,27003
Becker,Minnesota,27005
Beltrami,Minnesota,27007
Benton,Minnesota,27009
Big Stone,Minnesota,27011
Blue Earth,Minnesota,27013
Brown,Minnesota,27015
Carlton,Minnesota,27017
Carver,Minnesota,27019
Cass,Minnesota,27021
Chippewa,Minnesota,27023
Chisago,Minnesota,27025
Clay,Minnesota,27027
Clearwater,Minnesota,27029
Cook,Minnesota,27031
Cottonwood,Minnesota,27033
Crow Wing,Minnesota,27035
Dakota,Minnesota,27037
Dodge,Minnesota,27039
Douglas,Minnesota,27041
Faribault,Minnesota,27043
Fillmore,Minnesota,27045
Freeborn,Minnesota,27047
Goodhue,Minnesota,27049
Grant,Minnesota,27051
Hennepin,Minnesota,27053
Houston,Minnesota,27055
Hubbard,Minnesota,27057
Isanti,Minnesota,27059
Itasca,Minnesota,27061
Jackson,Minnesota,27063
Kanabec,Minnesota,27065
Kandiyohi,Minnesota,27067
Kittson,Minnesota,27069
Koochiching,Minnesota,27071
Lac qui Parle,Minnesota,27073
Lake,Minnesota,27075
Lake of the Woods,Minnesota,27077
Le Sueur,Minnesota,27079
Lincoln,Minnesota,27081
Lyon,Minnesota,27083
Mahnomen,Minnesota,27087
Marshall,Minnesota,27089
Martin,Minnesota,27091
McLeod,Minnesota,27085
Meeker,Minnesota,27093
Mille Lacs,Minnesota,27095
Morrison,Minnesota,27097
Mower,Minnesota,27099
Murray,Minnesota,27101
Nicollet,Minnesota,27103
Nobles,Minnesota,27105
Norman,Minnesota,27107
Olmsted,Minnesota,27109
Otter Tail,Minnesota,27111
Pennington,Minnesota,27113
Pine,Minnesota,27115
Pipestone,Minnesota,27117
Polk,Minnesota,27119
Pope,Minnesota,27121
Ramsey,Minnesota,27123
Red Lake,Minnesota,27125
Redwood,Minnesota,27127
Renville,Minnesota,27129
Rice,Minnesota,27131
Rock,Minnesota,27133
Roseau,Minnesota,27135
Scott,Minnesota,27139
Sherburne,Minnesota,27141
Sibley,Minnesota,27143
St. Louis,Minnesota,27137
Stearns,Minnesota,27145
Steele,Minnesota,27147
Stevens,Minnesota,27149
Swift,Minnesota,27151
Todd,Minnesota,27153
Traverse,Minnesota,27155
Wabasha,Minnesota,27157
Wadena,Minnesota,27159
Waseca,Minnesota,27161
Washington,Minnesota,27163
Watonwan,Minnesota,27165
Wilkin,Minnesota,27167
Winona,Minnesota,27169
Wright,Minnesota,27171
Yellow Medicine,Minnesota,27173
Adams,Mississippi,28001
Alcorn,Mississippi,28003
Amite,Mississippi,28005
Attala,Mississippi,28007
Benton,Mississippi,28009
Bolivar,Mississippi,28011
Calhoun,Mississippi,28013
Carroll,Mississippi,28015
Chickasaw,Mississippi,28017
Choctaw,Mississippi,28019
Claiborne,Mississippi,28021
Clarke,Mississippi,28023
Clay,Mississippi,28025
Coahoma,Mississippi,28027
Copiah,Mississippi,28029
Covington,Mississippi,28031
DeSoto,Mississippi,28033
Forrest,Mississippi,28035
Franklin,Mississippi,28037
George,Mississippi,28039
Greene,Mississippi,28041
Grenada,Mississippi,28043
Hancock,Mississippi,28045
Harrison,Mississippi,28047
Hinds,Mississippi,28049
Holmes,Mississippi,28051
Humphreys,Mississippi,28053
Issaquena,Mississippi,28055
Itawamba,Mississippi,28057
Jackson,Mississippi,28059
Jasper,Mississippi,28061
Jefferson,Mississippi,28063
Jefferson Davis,Mississippi,28065
Jones,Mississippi,28067
Kemper,Mississippi,28069
Lafayette,Mississippi,28071
Lamar,Mississippi,28073
Lauderdale,Mississippi,28075
Lawrence,Mississippi,28077
Leake,Mississippi,28079
Lee,Mississippi,28081
Leflore,Mississippi,28083
Lincoln,Mississippi,28085
Lowndes,Mississippi,28087
Madison,Mississippi,28089
Marion,Mississippi,28091
Marshall,Mississippi,28093
Monroe,Mississippi,28095
Montgomery,Mississippi,28097
Neshoba,Mississippi,28099
Newton,Mississippi,28101
Noxubee,Mississippi,28103
Oktibbeha,Mississippi,28105
Panola,Mississippi,28107
Pearl River,Mississippi,28109
Perry,Mississippi,28111
Pike,Mississippi,28113
Pontotoc,Mississippi,28115
Prentiss,Mississippi,28117
Quitman,Mississippi,28119
Rankin,Mississippi,28121
Scott,Mississippi,28123
Sharkey,Mississippi,28125
Simpson,Mississippi,28127
Smith,Mississippi,28129
Stone,Mississippi,28131
Sunflower,Mississippi,28133
Tallahatchie,Mississippi,28135
Tate,Mississippi,28137
Tippah,Mississippi,28139
Tishomingo,Mississippi,28141
Tunica,Mississippi,28143
Union,Mississippi,28145
Walthall,Mississippi,28147
Warren,Mississippi,28149
Washington,Mississippi,28151
Wayne,Mississippi,28153
Webster,Mississippi,28155
Wilkinson,Mississippi,28157
Winston,Mississippi,28159
Yalobusha,Mississippi,28161
Yazoo,Mississippi,28163
Adair,Missouri,29001
Andrew,Missouri,29003
Atchison,Missouri,29005
Audrain,Missouri,29007
Barry,Missouri,29009
Barton,Missouri,29011
Bates,Missouri,29013
Benton,Missouri,29015
Bollinger,Missouri,29017
Boone,Missouri,29019
Buchanan,Missouri,29021
Butler,Missouri,29023
Caldwell,Missouri,29025
Callaway,Missouri,29027
Camden,Missouri,29029
Cape Girardeau,Missouri,29031
Carroll,Missouri,29033
Carter,Missouri,29035
Cass,Missouri,29037
Cedar,Missouri,29039
Chariton,Missouri,29041
Christian,Missouri,29043
Clark,Missouri,29045
Clay,Missouri,29047
Clinton,Missouri,29049
Cole,Missouri,29051
Cooper,Missouri,29053
Crawford,Missouri,29055
Dade,Missouri,29057
Dallas,Missouri,29059
Daviess,Missouri,29061
DeKalb,Missouri,29063
Dent,Missouri,29065
Douglas,Missouri,29067
Dunklin,Missouri,29069
Franklin,Missouri,29071
Gasconade,Missouri,29073
Gentry,Missouri,29075
Greene,Missouri,29077
Grundy,Missouri,29079
Harrison,Missouri,29081
Henry,Missouri,29083
Hickory,Missouri,29085
Holt,Missouri,29087
Howard,Missouri,29089
Howell,Missouri,29091
Iron,Missouri,29093
Jackson,Missouri,29095
Jasper,Missouri,29097
Jefferson,Missouri,29099
Johnson,Missouri,29101
Knox,Missouri,29103
Laclede,Missouri,29105
Lafayette,Missouri,29107
Lawrence,Missouri,29109
Lewis,Missouri,29111
Lincoln,Missouri,29113
Linn,Missouri,29115
Livingston,Missouri,29117
Macon,Missouri,29121
Madison,Missouri,29123
Maries,Missouri,29125
Marion,Missouri,29127
McDonald,Missouri,29119
Mercer,Missouri,29129
Miller,Missouri,29131
Mississippi,Missouri,29133
Moniteau,Missouri,29135
Monroe,Missouri,29137
Montgomery,Missouri,29139
Morgan,Missouri,29141
New Madrid,Missouri,29143
Newton,Missouri,29145
Nodaway,Missouri,29147
Oregon,Missouri,29149
Osage,Missouri,29151
Ozark,Missouri,29153
Pemiscot,Missouri,29155
Perry,Missouri,29157
Pettis,Missouri,29159
Phelps,Missouri,29161
Pike,Missouri,29163
Platte,Missouri,29165
Polk,Missouri,29167
Pulaski,Missouri,29169
Putnam,Missouri,29171
Ralls,Missouri,29173
Randolph,Missouri,29175
Ray,Missouri,29177
Reynolds,Missouri,29179
Ripley,Missouri,29181
Saline,Missouri,29195
Schuyler,Missouri,29197
Scotland,Missouri,29199
Scott,Missouri,29201
Shannon,Missouri,29203
Shelby,Missouri,29205
St. Charles,Missouri,29183
St. Clair,Missouri,29185
St. Francois,Missouri,29187
St. Louis,Missouri,29189
St. Louis city,Missouri,29510
Ste. Genevieve,Missouri,29186
Stoddard,Missouri,29207
Stone,Missouri,29209
Sullivan,Missouri,29211
Taney,Missouri,29213
Texas,Missouri,29215
Vernon,Missouri,29217
Warren,Missouri,29219
Washington,Missouri,29221
Wayne,Missouri,29223
Webster,Missouri,29225
Worth,Missouri,29227
Wright,Missouri,29229
Beaverhead,Montana,30001
Big Horn,Montana,30003
Blaine,Montana,30005
Broadwater,Montana,30007
Carbon,Montana,30009
Carter,Montana,30011
Cascade,Montana,30013
Chouteau,Montana,30015
Custer,Montana,30017
Daniels,Montana,30019
Dawson,Montana,30021
Deer Lodge,Montana,30023
Fallon,Montana,30025
Fergus,Montana,30027
Flathead,Montana,30029
Gallatin,Montana,30031
Garfield,Montana,30033
Glacier,Montana,30035
Golden Valley,Montana,30037
Granite,Montana,30039
Hill,Montana,30041
Jefferson,Montana,30043
Judith Basin,Montana,30045
Lake,Montana,30047
Lewis and Clark,Montana,30049
Liberty,Montana,30051
Lincoln,Montana,30053
Madison,Montana,30057
McCone,Montana,30055
Meagher,Montana,30059
Mineral,Montana,30061
Missoula,Montana,30063
Musselshell,Montana,30065
Park,Montana,30067
Petroleum,Montana,30069
Phillips,Montana,30071
Pondera,Montana,30073
Powder River,Montana,30075
Powell,Montana,30077
Prairie,Montana,30079
Ravalli,Montana,30081
Richland,Montana,30083
Roosevelt,Montana,30085
Rosebud,Montana,30087
Sanders,Montana,30089
Sheridan,Montana,30091
Silver Bow,Montana,30093
Stillwater,Montana,30095
Sweet Grass,Montana,30097
Teton,Montana,30099
Toole,Montana,30101
Treasure,Montana,30103
Valley,Montana,30105
Wheatland,Montana,30107
Wibaux,Montana,30109
Yellowstone,Montana,30111
Adams,Nebraska,31001
Antelope,Nebraska,31003
Arthur,Nebraska,31005
Banner,Nebraska,31007
Blaine,Nebraska,31009
Boone,Nebraska,31011
Box Butte,Nebraska,31013
Boyd,Nebraska,31015
Brown,Nebraska,31017
Buffalo,Nebraska,31019
Burt,Nebraska,31021
Butler,Nebraska,31023
Cass,Nebraska,31025
Cedar,Nebraska,31027
Chase,Nebraska,31029
Cherry,Nebraska,31031
Cheyenne,Nebraska,31033
Clay,Nebraska,31035
Colfax,Nebraska,31037
Cuming,Nebraska,31039
Custer,Nebraska,31041
Dakota,Nebraska,31043
Dawes,Nebraska,31045
Dawson,Nebraska,31047
Deuel,Nebraska,31049
Dixon,Nebraska,31051
Dodge,Nebraska,31053
Douglas,Nebraska,31055
Dundy,Nebraska,31057
Fillmore,Nebraska,31059
Franklin,Nebraska,31061
Frontier,Nebraska,31063
Furnas,Nebraska,31065
Gage,Nebraska,31067
Garden,Nebraska,31069
Garfield,Nebraska,31071
Gosper,Nebraska,31073
Grant,Nebraska,31075
Greeley,Nebraska,31077
Hall,Nebraska,31079
Hamilton,Nebraska,31081
Harlan,Nebraska,31083
Hayes,Nebraska,31085
Hitchcock,Nebraska,31087
Holt,Nebraska,31089
Hooker,Nebraska,31091
Howard,Nebraska,31093
Jefferson,Nebraska,31095
Johnson,Nebraska,31097
Kearney,Nebraska,31099
Keith,Nebraska,31101
Keya Paha,Nebraska,31103
Kimball,Nebraska,31105
Knox,Nebraska,31107
Lancaster,Nebraska,31109
Lincoln,Nebraska,31111
Logan,Nebraska,31113
Loup,Nebraska,31115
Madison,Nebraska,31119
McPherson,Nebraska,31117
Merrick,Nebraska,31121
Morrill,Nebraska,31123
Nance,Nebraska,31125
Nemaha,Nebraska,31127
Nuckolls,Nebraska,31129
Otoe,Nebraska,31131
Pawnee,Nebraska,31133
Perkins,Nebraska,31135
Phelps,Nebraska,31137
Pierce,Nebraska,31139
Platte,Nebraska,31141
Polk,Nebraska,31143
Red Willow,Nebraska,31145
Richardson,Nebraska,31147
Rock,Nebraska,31149
Saline,Nebraska,31151
Sarpy,Nebraska,31153
Saunders,Nebraska,31155
Scotts Bluff,Nebraska,31157
Seward,Nebraska,31159
Sheridan,Nebraska,31161
Sherman,Nebraska,31163
Sioux,Nebraska,31165
Stanton,Nebraska,31167
Thayer,Nebraska,31169
Thomas,Nebraska,31171
Thurston,Nebraska,31173
Valley,Nebraska,31175
Washington,Nebraska,31177
Wayne,Nebraska,31179
Webster,Nebraska,31181
Wheeler,Nebraska,31183
York,Nebraska,31185
Carson City,Nevada,32510
Churchill,Nevada,32001
Clark,Nevada,32003
Douglas,Nevada,32005
Elko,Nevada,32007
Esmeralda,Nevada,32009
Eureka,Nevada,32011
Humboldt,Nevada,32013
Lander,Nevada,32015
Lincoln,Nevada,32017
Lyon,Nevada,32019
Mineral,Nevada,32021
Nye,Nevada,32023
Pershing,Nevada,32027
Storey,Nevada,32029
Washoe,Nevada,32031
White Pine,Nevada,32033
Belknap,New Hampshire,33001
Carroll,New Hampshire,33003
Cheshire,New Hampshire,33005
Coos,New Hampshire,33007
Grafton,New Hampshire,33009
Hillsborough,New Hampshire,33011
Merrimack,New Hampshire,33013
Rockingham,New Hampshire,33015
Strafford,New Hampshire,33017
Sullivan,New Hampshire,33019
Atlantic,New Jersey,34001
Bergen,New Jersey,34003
Burlington,New Jersey,34005
Camden,New Jersey,34007
Cape May,New Jersey,34009
Cumberland,New Jersey,34011
Essex,New Jersey,34013
Gloucester,New Jersey,34015
Hudson,New Jersey,34017
Hunterdon,New Jersey,34019
Mercer,New Jersey,34021
Middlesex,New Jersey,34023
Monmouth,New Jersey,34025
Morris,New Jersey,34027
Ocean,New Jersey,34029
Passaic,New Jersey,34031
Salem,New Jersey,34033
Somerset,New Jersey,34035
Sussex,New Jersey,34037
Union,New Jersey,34039
Warren,New Jersey,34041
Bernalillo,New Mexico,35001
Catron,New Mexico,35003
Chaves,New Mexico,35005
Cibola,New Mexico,35006
Colfax,New Mexico,35007
Curry,New Mexico,35009
De Baca,New Mexico,35011
Doña Ana,New Mexico,35013
Eddy,New Mexico,35015
Grant,New Mexico,35017
Guadalupe,New Mexico,35019
Harding,New Mexico,35021
Hidalgo,New Mexico,35023
Lea,New Mexico,35025
Lincoln,New Mexico,35027
Los Alamos,New Mexico,35028
Luna,New Mexico,35029
McKinley,New Mexico,35031
Mora,New Mexico,35033
Otero,New Mexico,35035
Quay,New Mexico,35037
Rio Arriba,New Mexico,35039
Roosevelt,New Mexico,35041
San Juan,New Mexico,35045
San Miguel,New Mexico,35047
Sandoval,New Mexico,35043
Santa Fe,New Mexico,35049
Sierra,New Mexico,35051
Socorro,New Mexico,35053
Taos,New Mexico,35055
Torrance,New Mexico,35057
Union,New Mexico,35059
Valencia,New Mexico,35061
Albany,New York,36001
Allegany,New York,36003
Broome,New York,36007
Cattaraugus,New York,36009
Cayuga,New York,36011
Chautauqua,New York,36013
Chemung,New York,36015
Chenango,New York,36017
Clinton,New York,36019
Columbia,New York,36021
Cortland,New York,36023
Delaware,New York,36025
Dutchess,New York,36027
Erie,New York,36029
Essex,New York,36031
Franklin,New York,36033
Fulton,New York,36035
Genesee,New York,36037
Greene,New York,36039
Hamilton,New York,36041
Herkimer,New York,36043
Jefferson,New York,36045
Lewis,New York,36049
Livingston,New York,36051
Madison,New York,36053
Monroe,New York,36055
Montgomery,New York,36057
Nassau,New York,36059
Niagara,New York,36063
Oneida,New York,36065
Onondaga,New York,36067
Ontario,New York,36069
Orange,New York,36071
Orleans,New York,36073
Oswego,New York,36075
Otsego,New York,36077
Putnam,New York,36079
Rensselaer,New York,36083
Rockland,New York,36087
Saratoga,New York,36091
Schenectady,New York,36093
Schoharie,New York,36095
Schuyler,New York,36097
Seneca,New York,36099
St. Lawrence,New York,36089
Steuben,New York,36101
Suffolk,New York,36103
Sullivan,New York,36105
Tioga,New York,36107
Tompkins,New York,36109
Ulster,New York,36111
Warren,New York,36113
Washington,New York,36115
Wayne,New York,36117
Westchester,New York,36119
Wyoming,New York,36121
Yates,New York,36123
Alamance,North Carolina,37001
Alexander,North Carolina,37003
Alleghany,North Carolina,37005
Anson,North Carolina,37007
Ashe,North Carolina,37009
Avery,North Carolina,37011
Beaufort,North Carolina,37013
Bertie,North Carolina,37015
Bladen,North Carolina,37017
Brunswick,North Carolina,37019
Buncombe,North Carolina,37021
Burke,North Carolina,37023
Cabarrus,North Carolina,37025
Caldwell,North Carolina,37027
Camden,North Carolina,37029
Carteret,North Carolina,37031
Caswell,North Carolina,37033
Catawba,North Carolina,37035
Chatham,North Carolina,37037
Cherokee,North Carolina,37039
Chowan,North Carolina,37041
Clay,North Carolina,37043
Cleveland,North Carolina,37045
Columbus,North Carolina,37047
Craven,North Carolina,37049
Cumberland,North Carolina,37051
Currituck,North Carolina,37053
Dare,North Carolina,37055
Davidson,North Carolina,37057
Davie,North Carolina,37059
Duplin,North Carolina,37061
Durham,North Carolina,37063
Edgecombe,North Carolina,37065
Forsyth,North Carolina,37067
Franklin,North Carolina,37069
Gaston,North Carolina,37071
Gates,North Carolina,37073
Graham,North Carolina,37075
Granville,North Carolina,37077
Greene,North Carolina,37079
Guilford,North Carolina,37081
Halifax,North Carolina,37083
Harnett,North Carolina,37085
Haywood,North Carolina,37087
Henderson,North Carolina,37089
Hertford,North Carolina,37091
Hoke,North Carolina,37093
Hyde,North Carolina,37095
Iredell,North Carolina,37097
Jackson,North Carolina,37099
Johnston,North Carolina,37101
Jones,North Carolina,37103
Lee,North Carolina,37105
Lenoir,North Carolina,37107
Lincoln,North Carolina,37109
Macon,North Carolina,37113
Madison,North Carolina,37115
Martin,North Carolina,37117
McDowell,North Carolina,37111
Mecklenburg,North Carolina,37119
Mitchell,North Carolina,37121
Montgomery,North Carolina,37123
Moore,North Carolina,37125
Nash,North Carolina,37127
New Hanover,North Carolina,37129
Northampton,North Carolina,37131
Onslow,North Carolina,37133
Orange,North Carolina,37135
Pamlico,North Carolina,37137
Pasquotank,North Carolina,37139
Pender,North Carolina,37141
Perquimans,North Carolina,37143
Person,North Carolina,37145
Pitt,North Carolina,37147
Polk,North Carolina,37149
Randolph,North Carolina,37151
Richmond,North Carolina,37153
Robeson,North Carolina,37155
Rockingham,North Carolina,37157
Rowan,North Carolina,37159
Rutherford,North Carolina,37161
Sampson,North Carolina,37163
Scotland,North Carolina,37165
Stanly,North Carolina,37167
Stokes,North Carolina,37169
Surry,North Carolina,37171
Swain,North Carolina,37173
Transylvania,North Carolina,37175
Tyrrell,North Carolina,37177
Union,North Carolina,37179
Vance,North Carolina,37181
Wake,North Carolina,37183
Warren,North Carolina,37185
Washington,North Carolina,37187
Watauga,North Carolina,37189
Wayne,North Carolina,37191
Wilkes,North Carolina,37193
Wilson,North Carolina,37195
Yadkin,North Carolina,37197
Yancey,North Carolina,37199
Adams,North Dakota,38001
Barnes,North Dakota,38003
Benson,North Dakota,38005
Billings,North Dakota,38007
Bottineau,North Dakota,38009
Bowman,North Dakota,38011
Burke,North Dakota,38013
Burleigh,North Dakota,38015
Cass,North Dakota,38017
Cavalier,North Dakota,38019
Dickey,North Dakota,38021
Divide,North Dakota,38023
Dunn,North Dakota,38025
Eddy,North Dakota,38027
Emmons,North Dakota,38029
Foster,North Dakota,38031
Golden Valley,North Dakota,38033
Grand Forks,North Dakota,38035
Grant,North Dakota,38037
Griggs,North Dakota,38039
Hettinger,North Dakota,38041
Kidder,North Dakota,38043
LaMoure,North Dakota,38045
Logan,North Dakota,38047
McHenry,North Dakota,38049
McIntosh,North Dakota,38051
McKenzie,North Dakota,38053
McLean,North Dakota,38055
Mercer,North Dakota,38057
Morton,North Dakota,38059
Mountrail,North Dakota,38061
Nelson,North Dakota,38063
Oliver,North Dakota,38065
Pembina,North Dakota,38067
Pierce,North Dakota,38069
Ramsey,North Dakota,38071
Ransom,North Dakota,38073
Renville,North Dakota,38075
Richland,North Dakota,38077
Rolette,North Dakota,38079
Sargent,North Dakota,38081
Sheridan,North Dakota,38083
Sioux,North Dakota,38085
Slope,North Dakota,38087
Stark,North Dakota,38089
Steele,North Dakota,38091
Stutsman,North Dakota,38093
Towner,North Dakota,38095
Traill,North Dakota,38097
Walsh,North Dakota,38099
Ward,North Dakota,38101
Wells,North Dakota,38103
Williams,North Dakota,38105
Saipan,Northern Mariana Islands,69110
Tinian,Northern Mariana Islands,69120
Adams,Ohio,39001
Allen,Ohio,39003
Ashland,Ohio,39005
Ashtabula,Ohio,39007
Athens,Ohio,39009
Auglaize,Ohio,39011
Belmont,Ohio,39013
Brown,Ohio,39015
Butler,Ohio,39017
Carroll,Ohio,39019
Champaign,Ohio,39021
Clark,Ohio,39023
Clermont,Ohio,39025
Clinton,Ohio,39027
Columbiana,Ohio,39029
Coshocton,Ohio,39031
Crawford,Ohio,39033
Cuyahoga,Ohio,39035
Darke,Ohio,39037
Defiance,Ohio,39039
Delaware,Ohio,39041
Erie,Ohio,39043
Fairfield,Ohio,39045
Fayette,Ohio,39047
Franklin,Ohio,39049
Fulton,Ohio,39051
Gallia,Ohio,39053
Geauga,Ohio,39055
Greene,Ohio,39057
Guernsey,Ohio,39059
Hamilton,Ohio,39061
Hancock,Ohio,39063
Hardin,Ohio,39065
Harrison,Ohio,39067
Henry,Ohio,39069
Highland,Ohio,39071
Hocking,Ohio,39073
Holmes,Ohio,39075
Huron,Ohio,39077
Jackson,Ohio,39079
Jefferson,Ohio,39081
Knox,Ohio,39083
Lake,Ohio,39085
Lawrence,Ohio,39087
Licking,Ohio,39089
Logan,Ohio,39091
Lorain,Ohio,39093
Lucas,Ohio,39095
Madison,Ohio,39097
Mahoning,Ohio,39099
Marion,Ohio,39101
Medina,Ohio,39103
Meigs,Ohio,39105
Mercer,Ohio,39107
Miami,Ohio,39109
Monroe,Ohio,39111
Montgomery,Ohio,39113
